components,explain,discrete
1,0.9951202192987204,0.9951202192987204
2,0.9979678810872317,0.002847661788511255
3,0.9984113815556295,0.0004435004683977935
4,0.9987745183466914,0.00036313679106190735
5,0.9991061168024404,0.0003315984557490281
6,0.9993365648443305,0.00023044804189012184
7,0.9995622999289421,0.00022573508461158965
8,0.99967949527568,0.00011719534673790504
9,0.9997711080942073,9.161281852734611e-05
10,0.999858898834331,8.779074012370174e-05
11,0.9999028311374315,4.3932303100511506e-05
12,0.9999381534844437,3.532234701223024e-05
13,0.9999614348889116,2.3281404467991837e-05
14,0.9999729465346201,1.1511645708396718e-05
15,0.9999819097452125,8.963210592430407e-06
16,0.9999861671661673,4.257420954800092e-06
17,0.9999893740397472,3.206873579932623e-06
18,0.9999916834683771,2.309428629857232e-06
19,0.9999934383871414,1.7549187643402472e-06
20,0.9999945844590358,1.1460718944207425e-06
21,0.9999955653051111,9.808460753647575e-07
22,0.9999964719496254,9.066445142455504e-07
23,0.9999971808715782,7.089219528228326e-07
24,0.9999977621912065,5.813196283698216e-07
25,0.9999982754032816,5.132120750625074e-07
26,0.999998762036276,4.866329944287833e-07
27,0.9999991517171036,3.8968082761411706e-07
28,0.9999994819674617,3.302503580501434e-07
29,0.9999996670683919,1.851009302279002e-07
30,0.9999997702107407,1.0314234876850263e-07
31,0.9999998544727343,8.426199355984446e-08
32,0.9999999007183583,4.624562399878451e-08
33,0.9999999228135393,2.2095181037047304e-08
34,0.9999999404398152,1.7626275920506743e-08
35,0.9999999533597542,1.2919938988908863e-08
36,0.9999999636009607,1.0241206397836888e-08
37,0.999999970489594,6.888633317049183e-09
38,0.9999999761533686,5.663774596128479e-09
39,0.9999999816665154,5.513146826017149e-09
40,0.9999999858996583,4.233142943444993e-09
41,0.9999999894385445,3.5388862063816707e-09
42,0.9999999922396627,2.801118257542963e-09
43,0.9999999940471568,1.8074940727872e-09
44,0.9999999956714115,1.62425471222153e-09
45,0.999999997058532,1.38712057816658e-09
46,0.9999999981106426,1.0521105414536342e-09
47,0.9999999989852953,8.746528209982076e-10
48,0.9999999993266541,3.41358696421387e-10
49,0.9999999995434937,2.168396117985356e-10
50,0.9999999996839144,1.4042067136955475e-10
51,0.9999999997961947,1.1228031003712506e-10
52,0.9999999998637342,6.753951337773673e-11
53,0.9999999999177376,5.4003320521556374e-11
54,0.9999999999548574,3.711981569743525e-11
55,0.9999999999884747,3.361726969385288e-11
56,0.9999999999961775,7.702886612393732e-12
57,0.9999999999993286,3.1511757590833986e-12
58,0.9999999999995456,2.1698120320401507e-13
59,0.99999999999976,2.1434200764146465e-13
60,0.9999999999999427,1.8276330604812157e-13
61,0.9999999999999976,5.486587539842559e-14
62,0.9999999999999992,1.6731803688065564e-15
63,0.9999999999999997,3.9863525115141785e-16
64,0.9999999999999998,1.009322451856995e-16
65,0.9999999999999999,5.763873776193513e-17
66,0.9999999999999999,1.330061833738734e-17
67,0.9999999999999999,7.706773038516259e-30
68,0.9999999999999999,8.795933389036853e-33
